Audio;m4a;128kbps;24.46MiB
Audio;m4a;128kbps;24.46MiB
Audio;m4a;48kbps;9.22MiB
Audio;m4a;48kbps;9.22MiB
Video;webm;1080p;283.23MiB
Video;webm;720p;174.45MiB
Video;webm;480p;60.97MiB
Video;webm;360p;36.58MiB
Video;webm;240p;21.76MiB
Video;webm;144p;11.32MiB
Video;mp4;1080p;541.0MiB
Video;mp4;720p;282.84MiB
Video;mp4;480p;101.26MiB
Video;mp4;360p;54.93MiB
Video;mp4;240p;29.05MiB
Video;mp4;144p;13.5MiB
